Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 57.99      3.12     3.12      749     0.00     0.01  sph_coord_to_sqrmap(double, double*, double*, double*, double*, int, int*, int*, int*, double*, double*, double*, bool, double, double*, double*)
 15.24      3.94     0.82 17786215     0.00     0.00  slaDs2tp(double, double, double, double, double*, double*, int*)
  7.71      4.36     0.41 16398576     0.00     0.00  slaDtp2s(double, double, double, double, double*, double*)
  7.53      4.76     0.41 16398576     0.00     0.00  slaDranrm(double)
  4.46      5.00     0.24        1     0.24     2.86  compute_seen_pixels_coordinates(int, long, std::string, std::vector<std::string, std::allocator<std::string> >, std::string, std::string, std::string, std::string, foffset*, float*, long, long, long*, long*, std::string, std::string, std::string, std::string, std::string, std::string, int, double, int*&, int*&, unsigned char*&, int&, double*&, double*, double*, bool, double, double*, double*, char, double*&, double*&, double*&, double*&, unsigned char*&, int, double&, double&, double&, double&, unsigned char*&, long, double, bool, bool, int, long, unsigned char*&, long*&, long*&, int, long*, long, int&)
  2.79      5.15     0.15      374     0.00     0.00  flag_conditions(unsigned char*, double*, unsigned char*, long, long, int*, int*, int, double, bool, unsigned char*)
  1.86      5.25     0.10     1498     0.00     0.00  double* std::min_element<double*>(double*, double*)
  1.49      5.33     0.08     1498     0.00     0.00  double* std::max_element<double*>(double*, double*)
  0.93      5.38     0.05        1     0.05     2.52  find_coordinates_in_map(long, std::vector<std::string, std::allocator<std::string> >, std::string, std::string, std::string, foffset*, float*, long, long, long*, long*, std::string, std::string, std::string, std::string, std::string, std::string, int, double, int*&, int*&, int, double*&, double*, double*, bool, double, double*, double*, char, double*&, double*&, double*&, double*&, unsigned char*&, double&, double&, double&, double&)
  0.00      5.38     0.00      823     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  0.00      5.38     0.00      752     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00      5.38     0.00      752     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      5.38     0.00      750     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      5.38     0.00      748     0.00     0.00  correctFrameOffsets(int, long, double*, foffset*, double*)
  0.00      5.38     0.00      636     0.00     0.00  operator new(unsigned int, void*)
  0.00      5.38     0.00      562     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      5.38     0.00      378     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      5.38     0.00      378     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      5.38     0.00      376     0.00     0.00  bool __gnu_cxx::operator!=<std::string const*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00      5.38     0.00      374     0.00     0.00  write_samptopix(long, long*, std::string, std::string, int, long)
  0.00      5.38     0.00      374     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::operator++()
  0.00      5.38     0.00      374     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  0.00      5.38     0.00      374     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::operator[](unsigned int)
  0.00      5.38     0.00      374     0.00     0.00  void std::_Construct<std::string, std::string>(std::string*, std::string const&)
  0.00      5.38     0.00       48     0.00     0.00  __gnu_cxx::new_allocator<std::string>::~new_allocator()
  0.00      5.38     0.00       48     0.00     0.00  __gnu_cxx::new_allocator<long>::~new_allocator()
  0.00      5.38     0.00       46     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator(__gnu_cxx::new_allocator<std::string> const&)
  0.00      5.38     0.00       38     0.00     0.00  __gnu_cxx::new_allocator<long>::new_allocator(__gnu_cxx::new_allocator<long> const&)
  0.00      5.38     0.00       36     0.00     0.00  std::allocator<long>::~allocator()
  0.00      5.38     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::__normal_iterator(long* const&)
  0.00      5.38     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::base() const
  0.00      5.38     0.00       26     0.00     0.00  std::allocator<long>::allocator(std::allocator<long> const&)
  0.00      5.38     0.00       26     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_get_Tp_allocator()
  0.00      5.38     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string* const&)
  0.00      5.38     0.00       18     0.00     0.00  std::vector<long, std::allocator<long> >::size() const
  0.00      5.38     0.00       18     0.00     0.00  std::vector<long, std::allocator<long> >::end()
  0.00      5.38     0.00       16     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_deallocate(long*, unsigned int)
  0.00      5.38     0.00       16     0.00     0.00  void std::__destroy_aux<std::string*>(std::string*, std::string*, std::__false_type)
  0.00      5.38     0.00       16     0.00     0.00  void std::__destroy_aux<long*>(long*, long*, std::__true_type)
  0.00      5.38     0.00       16     0.00     0.00  void std::_Destroy<std::string*>(std::string*, std::string*)
  0.00      5.38     0.00       16     0.00     0.00  void std::_Destroy<long*>(long*, long*)
  0.00      5.38     0.00       16     0.00     0.00  void std::_Destroy<long*, long>(long*, long*, std::allocator<long>)
  0.00      5.38     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<std::string>::deallocate(std::string*, unsigned int)
  0.00      5.38     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<std::string>::allocate(unsigned int, void const*)
  0.00      5.38     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<std::string>::max_size() const
  0.00      5.38     0.00       12     0.00     0.00  std::allocator<long>::allocator(std::allocator<long> const&)
  0.00      5.38     0.00       12     0.00     0.00  std::allocator<long>::~allocator()
  0.00      5.38     0.00       12     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_Vector_impl::_Vector_impl(std::allocator<long> const&)
  0.00      5.38     0.00       12     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_Vector_impl::~_Vector_impl()
  0.00      5.38     0.00       12     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::~_Vector_base()
  0.00      5.38     0.00       12     0.00     0.00  std::vector<long, std::allocator<long> >::~vector()
  0.00      5.38     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<long>::new_allocator()
  0.00      5.38     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<long>::max_size() const
  0.00      5.38     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00      5.38     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator*() const
  0.00      5.38     0.00       10     0.00     0.00  std::allocator<long>::allocator()
  0.00      5.38     0.00       10     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_Vector_base(std::allocator<long> const&)
  0.00      5.38     0.00       10     0.00     0.00  long* std::__copy<true, std::random_access_iterator_tag>::copy<long>(long const*, long const*, long*)
  0.00      5.38     0.00       10     0.00     0.00  std::vector<long, std::allocator<long> >::vector(std::allocator<long> const&)
  0.00      5.38     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator++(int)
  0.00      5.38     0.00        8     0.00     0.00  std::allocator<std::string>::~allocator()
  0.00      5.38     0.00        8     0.00     0.00  long* std::__copy_normal<false, false>::__copy_n<long*, long*>(long*, long*, long*)
  0.00      5.38     0.00        8     0.00     0.00  long* std::__copy_aux<long*, long*>(long*, long*, long*)
  0.00      5.38     0.00        8     0.00     0.00  long* std::uninitialized_copy<long*, long*>(long*, long*, long*)
  0.00      5.38     0.00        8     0.00     0.00  long* std::__uninitialized_copy_a<long*, long*, long>(long*, long*, long*, std::allocator<long>)
  0.00      5.38     0.00        8     0.00     0.00  long* std::__uninitialized_copy_aux<long*, long*>(long*, long*, long*, std::__true_type)
  0.00      5.38     0.00        8     0.00     0.00  long* std::copy<long*, long*>(long*, long*, long*)
  0.00      5.38     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<long>::deallocate(long*, unsigned int)
  0.00      5.38     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<long>::allocate(unsigned int, void const*)
  0.00      5.38     0.00        6     0.00     0.00  bool __gnu_cxx::operator< <long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&)
  0.00      5.38     0.00        6     0.00     0.00  bool __gnu_cxx::operator!=<long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&)
  0.00      5.38     0.00        6     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_get_Tp_allocator() const
  0.00      5.38     0.00        6     0.00     0.00  std::allocator<std::string>::allocator(std::allocator<std::string> const&)
  0.00      5.38     0.00        6     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator()
  0.00      5.38     0.00        6     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_allocate(unsigned int)
  0.00      5.38     0.00        5     0.00     0.00  bool __gnu_cxx::operator< <std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00      5.38     0.00        5     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<long>::construct(long*, long const&)
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string const* const&)
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::__normal_iterator(long const* const&)
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator++(int)
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::base() const
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  0.00      5.38     0.00        4     0.00     0.00  std::vector<long, std::allocator<long> >::max_size() const
  0.00      5.38     0.00        4     0.00     0.00  std::allocator<std::string>::allocator(std::allocator<std::string> const&)
  0.00      5.38     0.00        4     0.00     0.00  std::allocator<std::string>::~allocator()
